you,have	3.000000	0.375000	0.004190	0.008287
with,great	3.000000	1.000000	0.004190	0.008345
wa,ined	2.000000	1.000000	0.002793	0.005571
great,hot	2.000000	1.000000	0.002793	0.005571
the,tast	2.000000	1.000000	0.002793	0.005571
ingredi,are	2.000000	1.000000	0.002793	0.005571
but,noth	2.000000	1.000000	0.002793	0.005571
had,the	14.000000	0.823529	0.019553	0.038199
be,better	2.000000	1.000000	0.002793	0.005571
that,were	2.000000	0.500000	0.002793	0.005556
ravioli,wa	2.000000	1.000000	0.002793	0.005571
the,crust	5.000000	1.000000	0.006983	0.013870
best,sushi	2.000000	1.000000	0.002793	0.005571
not,realli	2.000000	0.666667	0.002793	0.005563
qualiti,and	3.000000	1.000000	0.004190	0.008345
margherita,pizza	3.000000	1.000000	0.004190	0.008345
staff,wa	2.000000	0.500000	0.002793	0.005556
previou,review	2.000000	1.000000	0.002793	0.005571
friendli,and	2.000000	0.222222	0.002793	0.005517
do,not	2.000000	0.250000	0.002793	0.005525
at,thi	2.000000	0.400000	0.002793	0.005548
had,no	3.000000	1.000000	0.004190	0.008345
rice,dish	2.000000	0.666667	0.002793	0.005563
been,a	2.000000	1.000000	0.002793	0.005571
mind,the	2.000000	1.000000	0.002793	0.005571
st,bart'	2.000000	1.000000	0.002793	0.005571
the,veal	2.000000	0.666667	0.002793	0.005563
sure,not	2.000000	1.000000	0.002793	0.005571
thi,wa	2.000000	0.333333	0.002793	0.005540
a,coupl	3.000000	0.750000	0.004190	0.008333
the,past	2.000000	0.666667	0.002793	0.005563
to,pay	2.000000	0.333333	0.002793	0.005540
that,i	8.000000	0.571429	0.011173	0.021918
the,menu	4.000000	0.266667	0.005587	0.010944
my,husband	6.000000	0.666667	0.008380	0.016552
the,entre	2.000000	1.000000	0.002793	0.005571
sushi,wa	4.000000	1.000000	0.005587	0.011111
the,tuna	4.000000	1.000000	0.005587	0.011111
indo,chines	2.000000	1.000000	0.002793	0.005571
save,room	2.000000	1.000000	0.002793	0.005571
waiter,wa	2.000000	0.666667	0.002793	0.005563
reason,price	6.000000	0.666667	0.008380	0.016552
wa,so	6.000000	0.461538	0.008380	0.016461
speak,for	3.000000	1.000000	0.004190	0.008345
restaur,is	2.000000	0.222222	0.002793	0.005517
the,outsid	2.000000	1.000000	0.002793	0.005571
tasti,and	5.000000	1.000000	0.006983	0.013870
to,tri	3.000000	0.333333	0.004190	0.008276
the,peopl	2.000000	0.250000	0.002793	0.005525
place,but	2.000000	0.333333	0.002793	0.005540
wa,ok	4.000000	1.000000	0.005587	0.011111
howev,our	2.000000	1.000000	0.002793	0.005571
wa,pretti	7.000000	0.700000	0.009777	0.019284
delici,but	2.000000	1.000000	0.002793	0.005571
the,waiter	4.000000	0.210526	0.005587	0.010884
the,horribl	2.000000	0.500000	0.002793	0.005556
is,amaz	7.000000	0.875000	0.009777	0.019337
to,see	2.000000	0.400000	0.002793	0.005548
food,but	2.000000	1.000000	0.002793	0.005571
i,could	2.000000	0.333333	0.002793	0.005540
place,ha	3.000000	0.300000	0.004190	0.008264
like,thi	2.000000	0.400000	0.002793	0.005548
a,dish	2.000000	1.000000	0.002793	0.005571
the,drink	6.000000	1.000000	0.008380	0.016620
view,of	2.000000	0.666667	0.002793	0.005563
the,lamb	4.000000	1.000000	0.005587	0.011111
sometim,i	2.000000	1.000000	0.002793	0.005571
what,realli	2.000000	1.000000	0.002793	0.005571
went,here	2.000000	0.500000	0.002793	0.005556
portion,are	2.000000	0.500000	0.002793	0.005556
it,not	2.000000	0.500000	0.002793	0.005556
watch,the	2.000000	0.500000	0.002793	0.005556
sauc,wa	2.000000	1.000000	0.002793	0.005571
must,be	2.000000	0.666667	0.002793	0.005563
and,the	75.000000	0.728155	0.104749	0.183150
up,for	3.000000	0.333333	0.004190	0.008276
a,real	4.000000	1.000000	0.005587	0.011111
away,from	2.000000	0.666667	0.002793	0.005563
thought,it	2.000000	1.000000	0.002793	0.005571
food,great	3.000000	1.000000	0.004190	0.008345
it,it	2.000000	1.000000	0.002793	0.005571
i,order	4.000000	0.800000	0.005587	0.011096
for,dessert	3.000000	0.750000	0.004190	0.008333
it,the	3.000000	1.000000	0.004190	0.008345
is,the	18.000000	0.514286	0.025140	0.047936
a,maggot	2.000000	0.666667	0.002793	0.005563
i,like	3.000000	0.428571	0.004190	0.008299
i,expect	2.000000	0.500000	0.002793	0.005556
that,the	5.000000	0.714286	0.006983	0.013831
scallop,and	2.000000	1.000000	0.002793	0.005571
one,of	9.000000	0.333333	0.012570	0.024226
in,restaur	2.000000	1.000000	0.002793	0.005571
the,brais	2.000000	1.000000	0.002793	0.005571
fish,and	4.000000	0.800000	0.005587	0.011096
of,these	2.000000	1.000000	0.002793	0.005571
thing,i	2.000000	1.000000	0.002793	0.005571
the,main	2.000000	0.500000	0.002793	0.005556
for,their	2.000000	1.000000	0.002793	0.005571
place,to	6.000000	0.230769	0.008380	0.016173
i,had	18.000000	0.600000	0.025140	0.048257
