you,have	2.000000	0.250000	0.028571	0.051282
and,windows	2.000000	0.500000	0.028571	0.054054
up,on	2.000000	0.500000	0.028571	0.054054
nice,and	3.000000	0.300000	0.042857	0.075000
is,very	2.000000	0.054054	0.028571	0.037383
keys,were	2.000000	1.000000	0.028571	0.055556
that,i	3.000000	0.103448	0.042857	0.060606
windows,8	2.000000	0.142857	0.028571	0.047619
is,bright	2.000000	0.666667	0.028571	0.054795
and,the	11.000000	0.161765	0.157143	0.159420
is,the	4.000000	0.093023	0.057143	0.070796
that,the	2.000000	0.133333	0.028571	0.047059
to,type	5.000000	0.833333	0.071429	0.131579
easy,to	4.000000	0.081633	0.057143	0.067227
but,the	2.000000	0.133333	0.028571	0.047059
the,key	4.000000	0.800000	0.057143	0.106667
use,it	2.000000	0.086957	0.028571	0.043011
the,only	2.000000	0.060606	0.028571	0.038835
it,has	2.000000	0.034483	0.028571	0.031250
to,get	4.000000	0.097561	0.057143	0.072072
on,this	3.000000	0.157895	0.042857	0.067416
keyboard,is	16.000000	1.000000	0.228571	0.372093
also,i	2.000000	0.500000	0.028571	0.054054
bright,and	2.000000	0.666667	0.028571	0.054795
pad,and	2.000000	0.400000	0.028571	0.053333
a,full	2.000000	0.250000	0.028571	0.051282
with,a	3.000000	0.111111	0.042857	0.061856
trouble,with	2.000000	0.500000	0.028571	0.054054
love,the	3.000000	0.130435	0.042857	0.064516
for,the	2.000000	0.037037	0.028571	0.032258
control,buttons	2.000000	1.000000	0.028571	0.055556
for,my	3.000000	0.187500	0.042857	0.069767
have,to	4.000000	0.125000	0.057143	0.078431
alot,of	2.000000	0.500000	0.028571	0.054054
with,the	4.000000	0.083333	0.057143	0.067797
laptop,is	3.000000	0.085714	0.042857	0.057143
had,a	2.000000	0.090909	0.028571	0.043478
time,you	2.000000	0.666667	0.028571	0.054795
also,the	2.000000	0.250000	0.028571	0.051282
i,love	3.000000	0.058824	0.042857	0.049587
i,do	2.000000	0.222222	0.028571	0.050633
built,in	2.000000	0.285714	0.028571	0.051948
using,the	2.000000	0.400000	0.028571	0.053333
is,a	3.000000	0.032967	0.042857	0.037267
very,easy	2.000000	0.181818	0.028571	0.049383
keyboard,and	7.000000	1.000000	0.100000	0.181818
the,keys	7.000000	1.000000	0.100000	0.181818
number,pad	2.000000	1.000000	0.028571	0.055556
key,to	2.000000	1.000000	0.028571	0.055556
have,had	2.000000	0.100000	0.028571	0.044444
keyboard,which	3.000000	1.000000	0.042857	0.082192
and,easy	2.000000	0.285714	0.028571	0.051948
has,a	2.000000	0.071429	0.028571	0.040816
like,the	3.000000	0.187500	0.042857	0.069767
which,is	2.000000	0.125000	0.028571	0.046512
makes,a	2.000000	0.666667	0.028571	0.054795
this,laptop	2.000000	0.024691	0.028571	0.026490
is,no	2.000000	0.285714	0.028571	0.051948
the,space	2.000000	1.000000	0.028571	0.055556
this,computer	3.000000	0.040000	0.042857	0.041379
of,the	5.000000	0.063291	0.071429	0.067114
the,laptop	2.000000	0.054054	0.028571	0.037383
space,bar	2.000000	1.000000	0.028571	0.055556
is,nice	3.000000	0.500000	0.042857	0.078947
you,use	2.000000	0.500000	0.028571	0.054054
it,was	2.000000	0.040816	0.028571	0.033613
of,trouble	2.000000	0.666667	0.028571	0.054795
i,bought	2.000000	0.055556	0.028571	0.037736
clear,the	2.000000	0.500000	0.028571	0.054054
size,keyboard	2.000000	1.000000	0.028571	0.055556
keys,are	2.000000	1.000000	0.028571	0.055556
to,use	5.000000	0.096154	0.071429	0.081967
the,side	2.000000	0.333333	0.028571	0.052632
had,alot	2.000000	1.000000	0.028571	0.055556
the,matte	2.000000	1.000000	0.028571	0.055556
get,the	2.000000	0.400000	0.028571	0.053333
is,great	3.000000	0.125000	0.042857	0.063830
screen,is	3.000000	0.136364	0.042857	0.065217
the,screen	4.000000	0.105263	0.057143	0.074074
the,mouse	2.000000	0.133333	0.028571	0.047059
the,keyboard	28.000000	0.965517	0.400000	0.565657
i,have	6.000000	0.068966	0.085714	0.076433
to,press	2.000000	1.000000	0.028571	0.055556
mouse,pad	3.000000	0.600000	0.042857	0.080000
it,is	6.000000	0.050847	0.085714	0.063830
type,on	4.000000	1.000000	0.057143	0.108108
a,little	4.000000	0.129032	0.057143	0.079208
to,work	2.000000	0.250000	0.028571	0.051282
on,the	7.000000	0.170732	0.100000	0.126126
